date,value,country,source
2017-05-01,4564,Iraq,Platform / tradingeconomics.com
2017-06-01,4550,Iraq,Platform / tradingeconomics.com
2017-07-01,4400,Iraq,Platform / tradingeconomics.com
2017-08-01,4380,Iraq,Platform / tradingeconomics.com
2017-09-01,4360,Iraq,Platform / tradingeconomics.com
2017-10-01,4360,Iraq,Platform / tradingeconomics.com
2017-11-01,4360,Iraq,Platform / tradingeconomics.com
2017-12-01,4362,Iraq,Platform / tradingeconomics.com
2018-01-01,4360,Iraq,Platform / tradingeconomics.com
2018-02-01,4360,Iraq,Platform / tradingeconomics.com
2018-03-01,4360,Iraq,Platform / tradingeconomics.com
2018-04-01,4360,Iraq,Platform / tradingeconomics.com
2018-05-01,4360,Iraq,Platform / tradingeconomics.com
2018-03-01,4430,NA,OPEC June
2018-04-01,4427,NA,OPEC June
2018-05-01,4455,NA,OPEC June
2018-02-01,4436,NA,OPEC May
2018-03-01,4430,NA,OPEC May
2018-04-01,4429,NA,OPEC May
2018-01-01,4449,NA,OPEC April
2018-02-01,4440,NA,OPEC April
2018-03-01,4426,NA,OPEC April
2017-12-01,4416,NA,OPEC March
2018-01-01,4450,NA,OPEC March
2018-02-01,4425,NA,OPEC March
2017-11-01,4393,NA,OPEC February
2017-12-01,4405,NA,OPEC February
2018-01-01,4435,NA,OPEC February
2017-10-01,4388,NA,OPEC January
2017-11-01,4397,NA,OPEC January
2017-12-01,4405,NA,OPEC January
